date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:47:49	4976/4976	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/bootstrap-maxlength/bootstrap-maxlength.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/bootstrap-maxlength/bootstrap-maxlength.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-advanced.html)
00:47:50	5962/5962	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-advanced.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-advanced.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-advanced.html)
00:47:50	42773/42773	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/parsleyjs/parsley.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/parsleyjs/parsley.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-validation.html)
00:47:51	51/51	---M--	200	added ('OK')	application/x-javascript	etag:%225ebd3c57-33%22	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-validation.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-validation.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-validation.html)
00:47:51	5988/5988	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/twitter-bootstrap-wizard/jquery.bootstrap.wizard.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/twitter-bootstrap-wizard/jquery.bootstrap.wizard.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-wizard.html)
00:47:51	611/611	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-wizard.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-wizard.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-wizard.html)
00:47:51	9860/9860	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/dropify/dropify.min.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/dropify/dropify.min.css	(from https://coderthemes.com/adminto/layouts/horizontal/form-fileupload.html)
00:47:53	10515/10515	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/dropify/dropify.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/dropify/dropify.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-fileupload.html)
00:47:53	236/236	---M--	200	added ('OK')	application/x-javascript	etag:%225ebd3c57-ec%22	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-fileupload.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-fileupload.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-fileupload.html)
00:47:54	9020/9020	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.core.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.core.css	(from https://coderthemes.com/adminto/layouts/horizontal/form-quilljs.html)
00:47:54	25273/25273	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.bubble.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.bubble.css	(from https://coderthemes.com/adminto/layouts/horizontal/form-quilljs.html)
00:47:55	24743/24743	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.snow.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.snow.css	(from https://coderthemes.com/adminto/layouts/horizontal/form-quilljs.html)
00:47:56	247649/247649	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/katex/katex.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/katex/katex.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-quilljs.html)
00:47:56	433/433	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-editor.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-editor.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-quilljs.html)
00:47:58	21202/21202	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/x-editable/bootstrap-editable.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/x-editable/bootstrap-editable.css	(from https://coderthemes.com/adminto/layouts/horizontal/form-xeditable.html)
00:47:59	75909/75909	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/x-editable/bootstrap-editable.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/x-editable/bootstrap-editable.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-xeditable.html)
00:47:59	1743/1743	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-xeditable.init.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/js/pages/form-xeditable.init.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-xeditable.html)
00:47:59	216333/216333	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/quill/quill.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/form-quilljs.html)
00:47:59	5799/5799	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.bootstrap4.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.bootstrap4.css	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:47:59	4739/4739	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/responsive.bootstrap4.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/responsive.bootstrap4.css	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:47:59	4165/4165	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.bootstrap4.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.bootstrap4.css	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:00	4626/4626	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/select.bootstrap4.css	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/select.bootstrap4.css	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:03	4693/4693	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.bootstrap4.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.bootstrap4.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:04	82650/82650	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/jquery.dataTables.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/jquery.dataTables.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:05	13031/13031	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.responsive.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.responsive.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:05	1244/1244	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:56%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/responsive.bootstrap4.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/responsive.bootstrap4.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:05	19510/19510	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.buttons.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/dataTables.buttons.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:06	1043/1043	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.bootstrap4.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.bootstrap4.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:06	24531/24531	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.html5.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.html5.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:07	26039/26039	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.flash.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.flash.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
00:48:07	2212/2212	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2014%20May%202020%2012:40:55%20GMT	https://coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.print.min.js	C:/xampp/htdocs/laravel/covid19/template/Covid19/coderthemes.com/adminto/layouts/horizontal/assets/libs/datatables/buttons.print.min.js	(from https://coderthemes.com/adminto/layouts/horizontal/tables-datatable.html)
